"Code","Row ID","Approval Stage Name","Approvers","Approver's Job Level","Approver's Grade","Action","Alloted Time","Visibility Roles","Skip Settings","SLA Settings","Confidential Roles","Re-Route Approval Flow","Approver Context","Assignment Basis","Replace Approve and Reject buttons with submit button","Trigger this stage even if previous stage is rejected","Allow Send Back","Select Employee","Use Decision Matrix","Decision Matrix","Approve Button Alias","Reject Button Alias","Save as Draft Button Alias","Reroute Button Alias","Send Back Button Alias","Delegate Button Alias","View Details Button Alias","Submit Button Alias","Cancel Button Alias","Approver/Assignee Is Assigned - Email","Approver/Assignee Is Assigned - Default Recipients","Approver/Assignee Is Assigned - Additional Recipients","Approver/Assignee Is Assigned - CC Users","Approver/Assignee Is Assigned - CC Roles","Approvers Approve - Email","Approvers Approve - Default Recipients","Approvers Approve - Additional Recipients","Approvers Approve - CC Users","Approvers Approve - CC Roles","Approvers Reject - Email","Approvers Reject - Default Recipients","Approvers Reject - Additional Recipients","Approvers Reject - CC Users","Approvers Reject - CC Roles","Due Date Is Completed - Email","Due Date Is Completed - Default Recipients","Due Date Is Completed - Additional Recipients","Due Date Is Completed - CC Users","Due Date Is Completed - CC Roles","Approval Step Is Skipped - Email","Approval Step Is Skipped - Default Recipients","Approval Step Is Skipped - Additional Recipients","Approval Step Is Skipped - CC Users","Approval Step Is Skipped - CC Roles","Sent Back To Approval Stage And Sent Back Task Is Triggered - Email","Sent Back To Approval Stage And Sent Back Task Is Triggered - Default Recipients","Sent Back To Approval Stage And Sent Back Task Is Triggered - Additional Recipients","Sent Back To Initiator Stage And Sent Back Task Is Triggered - Email","Sent Back To Initiator Stage And Sent Back Task Is Triggered - Default Recipients","Sent Back To Initiator Stage And Sent Back Task Is Triggered - Additional Recipients","Sent Back From This Stage And Sent Back Task Is Completed - Email","Sent Back From This Stage And Sent Back Task Is Completed - Default Recipients","Sent Back From This Stage And Sent Back Task Is Completed - Additional Recipients","Other Stages Retriggered As Part Of This Send Back - Email","Other Stages Retriggered As Part Of This Send Back - Default Recipients","Other Stages Retriggered As Part Of This Send Back - Additional Recipients","Status"
"AF_43","","Stage 1","","","","","15","","","","","","Subject","Source","","","","","","","","","","","","","","","","","","Self|Manager|HOD","","","","","","","","","","Self|Manager|HOD","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
"AF_44","","Approval Stage 1","HOD","","","","15","","","","","","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","Manager|Employee direct HRBP","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
"AF_4","R1","Stage 1","","","","","15","","","","","","Subject","Source","","","","","","","","","","","","","","","","","","Self|Manager|HOD","","","","","","","","","","Self|Manager|HOD","","","","","","","","","","","","","","","","","","","","","","","","","Active"
"AF_5","R1","IT Admin","IT Admin","","","","15","Manager|Admin|IT Admin","","","","","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Active"
"AF_6","R1","Stage 1","CEO|Vice President","","","","15","Manager","","","Manager|Admin","","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Active"
"AF_7","R1","Stage 1","CEO|Vice President","","","","15","","","","","","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Active"
"AF_8","R1","Stage 1","CEO|Vice President","","","","15","","","","","","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Active"
"AF_9","R1","Approval Stage 1","HOD|Vice President","","","","15","","","","","","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","Manager|Employee direct HRBP","","","","","","","","","","","","","","","","","","","","","","","","","Active"
"AF_10","","HR Team","Offer Approval HR","","","","15","","","","","AF_11|AF_12|AF_20","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","CUST_NOTF_8","","","","Admin","","","","","","","","","","","","","","","","","","","","","","","Inactive"
"AF_11","R1","CEO","CEO","","","","15","","","","","","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Active"
"AF_12","R1","VP","Vice President","","","","15","","","","","","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Active"
"AF_13","R1","Stage 1","HOD|CEO|Vice President","","","","15","","","","","","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Active"
"AF_14","","L1","","","","","15","Admin|CEO|Recruiters|Vice President|HR Team","","","","","Initiator","Source","","","","","","","","","","","","","","","","CUST_NOTF_5","","Manager|L2 Manager|L3 Manager|L4 Manager|HOD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
"AF_14","","L2","CEO|Vice President","","","","15","Admin|CEO|Recruiters|Vice President|HR Team","","","","","Initiator","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
