"Holiday Name","Holiday Code","Holiday Date","Day Name","Repeat Next Year (yes/no)","Holiday Type (Mandatory(0)/Optional(1)/National(2))","Assigned location","Location (Work Area Code)",Assignments,"Additional Configurations","Recurring Holiday Type(Recurring Static date(0)/Recurring Day of Month(1))","Static Month","Static Date",Occurrence,Month,Day,"Holiday Starts From"
"Independance Day",HDAY_139,2026-08-15,Saturday,NO,0,,,"Axis Securities,NSDL,Yes Bank,Invoicemart,SK Finance ",No,,,,,,,
"Independence Day",HDAY_156,2026-08-15,Saturday,NO,0,,,"Strategy Corps",No,,,,,,,
"Raksha Bandhan",HDAY_145,2026-08-28,Friday,NO,0,,,"Freecharge,SK Finance ",No,,,,,,,
"Shri Krishna Janmashthami",HDAY_146,2026-09-04,Friday,NO,0,,,Freecharge,No,,,,,,,
"Ganesh Chaturthi",HDAY_126,2026-09-14,Monday,NO,0,,,"NSDL,Yes Bank,Mumbai Holiday,Bengaluru Holiday,Hyderabad- Holiday,Aditya Birla,Invoicemart,SK Finance ",No,,,,,,,
"Gandhi Jayanti",HDAY_127,2026-10-02,Friday,NO,0,,,"Freecharge,Yes Bank,Mumbai Holiday,Bengaluru Holiday,Hyderabad- Holiday,Aditya Birla,Invoicemart,SK Finance ,Strategy Corps",No,,,,,,,
Dussehra,HDAY_128,2026-10-20,Tuesday,NO,0,,,"Freecharge,NSDL,Mumbai Holiday,Bengaluru Holiday,Hyderabad- Holiday,Aditya Birla,Invoicemart,SK Finance ",No,,,,,,,
Dasara,HDAY_151,2026-10-20,Tuesday,NO,0,,,"Yes Bank",No,,,,,,,
Diwali,HDAY_159,2026-10-28,Wednesday,NO,0,,,"Strategy Corps",No,,,,,,,
"Govardhan Pooja",HDAY_147,2026-11-09,Monday,NO,0,,,"Freecharge,SK Finance ",No,,,,,,,
"Diwali Bali Prati Pada",HDAY_133,2026-11-10,Tuesday,NO,0,,,"Freecharge,NSDL,Yes Bank,Aditya Birla,Invoicemart",No,,,,,,,
"Bhai Dhooj",HDAY_150,2026-11-11,Wednesday,NO,0,,,"SK Finance ",No,,,,,,,
"Guru Nanak Jayanthi",HDAY_134,2026-11-24,Tuesday,NO,0,,,"Freecharge,NSDL,Yes Bank,Aditya Birla,Invoicemart",No,,,,,,,
"Guru Nanak Jayanti",HDAY_160,2026-11-24,Tuesday,NO,0,,,"Strategy Corps",No,,,,,,,
Christmas,HDAY_129,2026-12-25,Friday,NO,0,,,"Freecharge,NSDL,Yes Bank,Mumbai Holiday,Bengaluru Holiday,Hyderabad- Holiday,Aditya Birla,Invoicemart,Strategy Corps",No,,,,,,,
